#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  60
#! SET periodic_psi true
   -3.141592654   -3.141592654   24.492939344  -38.851254342   21.508381339
   -3.036872898   -3.141592654   20.681300720  -33.085944720   25.223696899
   -2.932153143   -3.141592654   17.718316495  -22.884133290   28.092961676
   -2.827433388   -3.141592654   15.969837921  -10.275918941   29.831977622
   -2.722713633   -3.141592654   15.551383496    2.050385133   30.347226515
   -2.617993878   -3.141592654   16.295152979   11.581904418   29.741394187
   -2.513274123   -3.141592654   17.817714259   16.782211373   28.269407561
   -2.408554368   -3.141592654   19.643227390   17.400129861   26.261139928
   -2.303834613   -3.141592654   21.325220309   14.205344014   24.043813074
   -2.199114858   -3.141592654   22.527693192    8.451964858   21.903557158
   -2.094395102   -3.141592654   23.049796503    1.391157470   20.088985693
   -1.989675347   -3.141592654   22.810640947   -5.927240060   18.858501774
   -1.884955592   -3.141592654   21.833847487  -12.545137658   18.502273793
   -1.780235837   -3.141592654   20.250962985  -17.378648661   19.309547274
   -1.675516082   -3.141592654   18.313562628  -19.101074355   21.466506694
   -1.570796327   -3.141592654   16.414075923  -16.607426655   24.852239705
   -1.466076572   -3.141592654   15.022761550   -9.357286776   28.976859348
   -1.361356817   -3.141592654   14.609741941    1.893693778   32.975872698
   -1.256637061   -3.141592654   15.501039441   15.135387081   35.819117025
   -1.151917306   -3.141592654   17.762645552   27.652553857   36.662414498
   -1.047197551   -3.141592654   21.178613265   36.779751479   35.091330847
   -0.942477796   -3.141592654   25.296365595   40.929958119   31.288545968
   -0.837758041   -3.141592654   29.574835187   39.881643644   25.939394253
   -0.733038286   -3.141592654   33.515715900   34.813191501   19.977915506
   -0.628318531   -3.141592654   36.793137989   27.495800084   14.286755878
   -0.523598776   -3.141592654   39.269455510   19.806076970    9.486234868
   -0.418879020   -3.141592654   40.981487440   13.059496351    5.844728680
   -0.314159265   -3.141592654   42.066637991    7.913272775    3.342432859
   -0.209439510   -3.141592654   42.703577011    4.372381555    1.774494848
   -0.104719755   -3.141592654   43.045651941    2.208457501    0.868893417
    0.000000000   -3.141592654   43.215031298    1.008332027    0.390006491
    0.104719755   -3.141592654   43.293966585    0.385501058    0.155652478
    0.209439510   -3.141592654   43.325160194    0.120326320    0.052994957
    0.314159265   -3.141592654   43.335084866    0.031502195    0.014954512
    0.418879020   -3.141592654   43.337981296    0.004052855    0.002253123
    0.523598776   -3.141592654   43.338359693    0.000402061    0.000200866
    0.628318531   -3.141592654   43.338399083   -0.000000000   -0.000000000
    0.733038286   -3.141592654   43.338399083   -0.000000000   -0.000000000
    0.837758041   -3.141592654   43.338399083   -0.000000000   -0.000000000
    0.942477796   -3.141592654   43.338399083   -0.000000000   -0.000000000
    1.047197551   -3.141592654   43.338399083   -0.000000000   -0.000000000
    1.151917306   -3.141592654   43.338399083   -0.000000000   -0.000000000
    1.256637061   -3.141592654   43.338399083   -0.000000000   -0.000000000
    1.361356817   -3.141592654   43.338399083   -0.000000000   -0.000000000
    1.466076572   -3.141592654   43.338399083   -0.000000000   -0.000000000
    1.570796327   -3.141592654   43.338313620   -0.000934731    0.000288515
    1.675516082   -3.141592654   43.338070829   -0.003375131    0.001030639
    1.780235837   -3.141592654   43.336698455   -0.016908289    0.005301835
    1.884955592   -3.141592654   43.330757047   -0.074367062    0.020388968
    1.989675347   -3.141592654   43.314471022   -0.220230237    0.053949244
    2.094395102   -3.141592654   43.271105221   -0.583844901    0.135658738
    2.199114858   -3.141592654   43.172961174   -1.328882225    0.311631760
    2.303834613   -3.141592654   42.964420849   -2.754186989    0.658127901
    2.408554368   -3.141592654   42.555576148   -5.233839884    1.292099658
    2.513274123   -3.141592654   41.815945163   -9.140292749    2.357099373
    2.617993878   -3.141592654   40.581349660  -14.684850297    4.008400709
    2.722713633   -3.141592654   38.688085041  -21.639688378    6.368253178
    2.827433388   -3.141592654   36.026742579  -29.155256514    9.470948118
    2.932153143   -3.141592654   32.612719136  -35.724877354   13.219088080
    3.036872898   -3.141592654   28.640059038  -39.500548778   17.359325672

   -3.141592654   -3.036872898   26.972003887  -34.322291494   25.345368377
   -3.036872898   -3.036872898   23.600505144  -29.294569971   29.945680028
   -2.932153143   -3.036872898   20.976490338  -20.258606010   33.480781155
   -2.827433388   -3.036872898   19.430930651   -9.043146843   35.576299757
   -2.722713633   -3.036872898   19.068657415    1.911719841   36.124037054
   -2.617993878   -3.036872898   19.736402999   10.315131160   35.295948854
   -2.513274123   -3.036872898   21.083981870   14.764610775   33.465507962
   -2.408554368   -3.036872898   22.677252440   15.037069927   31.091068809
   -2.303834613   -3.036872898   24.109706269   11.849610440   28.601175751
   -2.199114858   -3.036872898   25.078587768    6.385321531   26.338453552
   -2.094395102   -3.036872898   25.409991972   -0.142828476   24.563642285
   -1.989675347   -3.036872898   25.049000966   -6.674163209   23.508891501
   -1.884955592   -3.036872898   24.046936782  -12.232107888   23.406920842
   -1.780235837   -3.036872898   22.561304492  -15.790653322   24.458555172
   -1.675516082   -3.036872898   20.857446050  -16.246626076   26.737519143
   -1.570796327   -3.036872898   19.308787377  -12.831977781   30.005856602
   -1.466076572   -3.036872898   18.329061721   -5.404711484   33.684913436
   -1.361356817   -3.036872898   18.295875163    5.032308510   36.889587213
   -1.256637061   -3.036872898   19.430015001   16.521167706   38.658372568
   -1.151917306   -3.036872898   21.716349174   26.693180123   38.298054313
